,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons"
"Number of woman entrants, persons",1.0,0.9642036861847526,0.9762003941248769,0.9307607905932298,0.9971140062036365,0.9440883392860177,0.981940238609898,0.9380892737708344,0.9754389802639902,0.9195975043952314,0.971213392898612,0.9247663760364521,0.8932365215644342,0.8787745295555489,0.8792023297542779,0.857639091563456,0.9130911711156057,0.9364650102468022
"Number of man entrants, persons",0.9642036861847526,1.0,0.9318560987945285,0.9537706984903812,0.9647115836672319,0.9856273399050294,0.967386500290817,0.9800035189895258,0.9400121891345113,0.9460129659398993,0.9641142014945043,0.9736828593504571,0.9550300582189799,0.9370754161118039,0.8703088645864994,0.8147190139101185,0.9136021226704394,0.9277044399281945
"Number of state order training woman entrants, persons",0.9762003941248769,0.9318560987945285,1.0,0.934347896910508,0.9569185497419251,0.8928469748325522,0.9381635860301393,0.9093140647232487,0.9731927710444507,0.9340556131875148,0.9135667616728697,0.8743071643867586,0.836666837229757,0.8426334888163939,0.8940377870710929,0.9040873620590588,0.9050312514826986,0.9607876065124475
"Number of state order training man entrants, persons",0.9307607905932298,0.9537706984903812,0.934347896910508,1.0,0.9190643502425636,0.8892918044929123,0.9245071215856756,0.9468259344653848,0.9331573537564922,0.9512574093515349,0.9092685572640624,0.9214200355706653,0.9124423354898228,0.8987505580666256,0.8500494804129691,0.8184889294336696,0.8685553984835466,0.9335697192840794
"Number of paid training woman entrants, persons",0.9971140062036365,0.9647115836672319,0.9569185497419251,0.9190643502425636,1.0,0.9514359297291496,0.9862500942809009,0.9376395423686682,0.9652834064979972,0.9042207291246117,0.9804989706819193,0.9320569043878086,0.9030197959492153,0.8815686758315826,0.8641465869470891,0.8317586913246852,0.9056701547316105,0.9174458130608337
"Number of paid training man entrants, persons",0.9440883392860177,0.9856273399050294,0.8928469748325522,0.8892918044929123,0.9514359297291496,1.0,0.9524470490818747,0.9591013778814322,0.905927740683125,0.9048851980302225,0.9560331838436437,0.963763832091744,0.9404253533747731,0.9207991338442862,0.846572391092193,0.7797189412418241,0.902051624971873,0.8869666008349038
"Number of woman students, persons",0.981940238609898,0.967386500290817,0.9381635860301393,0.9245071215856756,0.9862500942809009,0.9524470490818747,1.0,0.9591718749510443,0.9717025117780702,0.9148746360916136,0.996617488992222,0.9586965416301405,0.9370514373044211,0.9152818026361654,0.8525469693920109,0.7915327832157418,0.9238736254146305,0.9096241984788295
"Number of man students, persons",0.9380892737708344,0.9800035189895258,0.9093140647232487,0.9468259344653848,0.9376395423686682,0.9591013778814322,0.9591718749510443,1.0,0.9335132143264502,0.9688196793936744,0.9554113365258583,0.9917360928145971,0.9538870135932478,0.9580590286466693,0.8272319761080356,0.7831540250864839,0.8929535864267746,0.9229892169377196
"Number of state order training woman students, persons",0.9754389802639902,0.9400121891345113,0.9731927710444507,0.9331573537564922,0.9652834064979972,0.905927740683125,0.9717025117780702,0.9335132143264502,1.0,0.9249174272931494,0.9490041016935875,0.9151778358679562,0.891232330636162,0.9021795268209947,0.8917599443084423,0.8632023163503989,0.9351537039364146,0.9522808799023077
"Number of state order training man students, persons",0.9195975043952314,0.9460129659398993,0.9340556131875148,0.9512574093515349,0.9042207291246117,0.9048851980302225,0.9148746360916136,0.9688196793936744,0.9249174272931494,1.0,0.899278995235061,0.9290262729975419,0.8938342381582517,0.9132788369349113,0.8154631556388514,0.8043796801130481,0.8634099649595592,0.9320509120469255
