,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons"
"Number of woman entrants, persons",1.0,0.577189492806573,0.8209435744075143,0.4590575178423309,0.9639255232386786,0.3615905783416678,0.7560268879900942,0.5470996792932982,0.7413503888543957,0.5546204565995623,0.6711241820359544,0.36744474955076806,0.1788460079486146,0.2852377475870427,0.10105821256723953,0.5062929206637651,0.12688929962394732,0.5548484344226607
"Number of man entrants, persons",0.577189492806573,1.0,0.4630149654911723,0.4662511392473686,0.5614137022800052,0.8325379284181269,0.3713430430895898,0.6225283500827365,0.24464002705783175,0.5570465281422061,0.37306095152019586,0.47236517025563063,0.7014041820419017,0.5555234365996009,0.058333771825268534,0.26266046520120834,0.007454076697033132,0.23608220506420913
"Number of state order training woman entrants, persons",0.8209435744075143,0.4630149654911723,1.0,0.6832444963213878,0.6393417149821005,0.09281533878025179,0.4143805832052206,0.3657731209989235,0.6800371176540427,0.6874599588788025,0.2683915648587079,0.013594280845888889,-0.10418733210896348,0.06266492039384419,0.2502327315036389,0.7044980841513022,0.14685836131669258,0.7309519247744611
"Number of state order training man entrants, persons",0.4590575178423309,0.4662511392473686,0.6832444963213878,1.0,0.29967836582882473,-0.10189740720816337,0.19610174779946074,0.3337852615353621,0.5193874282206943,0.5104727506138838,0.055224936399870826,0.09805286807649714,0.1906212162658268,0.16218036769752925,0.16536542648522803,0.6022599803564161,0.05775044529595513,0.7337829333464703
"Number of paid training woman entrants, persons",0.9639255232386786,0.5614137022800052,0.6393417149821005,0.29967836582882473,1.0,0.44365363634403127,0.8249072185117409,0.5662232981043068,0.6813098243409171,0.4263986743668862,0.7786287840644761,0.4884652347834512,0.28940074249409503,0.3548911149684078,0.0194409891380057,0.3533784750428853,0.10241245931519535,0.40643218695994826
"Number of paid training man entrants, persons",0.3615905783416678,0.8325379284181269,0.09281533878025179,-0.10189740720816337,0.44365363634403127,1.0,0.29477800177218444,0.4910195962789323,-0.0501410327986932,0.3067435958499573,0.3849266504460612,0.4697758246695796,0.6693648789860909,0.5231310570281539,-0.03795504636620664,-0.08177165472619369,-0.027781107869161756,-0.19401848868371396
"Number of woman students, persons",0.7560268879900942,0.3713430430895898,0.4143805832052206,0.19610174779946074,0.8249072185117409,0.29477800177218444,1.0,0.6353422336591271,0.7517158435407124,0.30946638512208036,0.9708629781693157,0.6719334575715405,0.2711584470227969,0.34731609283104725,0.012340026576918654,0.2167500748388029,0.26324740443025085,0.3117273291775606
"Number of man students, persons",0.5470996792932982,0.6225283500827365,0.3657731209989235,0.3337852615353621,0.5662232981043068,0.4910195962789323,0.6353422336591271,1.0,0.43513495287150233,0.7418251805770751,0.6322594592764988,0.8709041553018547,0.5109835878810276,0.5687288017913505,-0.2528030810315093,0.1574659048491262,-0.13272992797757882,0.3219903291779727
"Number of state order training woman students, persons",0.7413503888543957,0.24464002705783175,0.6800371176540427,0.5193874282206943,0.6813098243409171,-0.0501410327986932,0.7517158435407124,0.43513495287150233,1.0,0.37807083741402947,0.5717766826132865,0.33845054828898724,0.005019384239322813,0.2657520617325683,0.25435670977123925,0.6766094396620351,0.33910075568122194,0.7211382191398552
"Number of state order training man students, persons",0.5546204565995623,0.5570465281422061,0.6874599588788025,0.5104727506138838,0.4263986743668862,0.3067435958499573,0.30946638512208036,0.7418251805770751,0.37807083741402947,1.0,0.24760146486056087,0.31649360064243204,0.14405317933658277,0.2109418365751071,-0.06929396093716157,0.37398471573161124,-0.057794699947605103,0.5322105618160017
