,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of state order training woman students, persons","Number of paid training woman students, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign man students, persons","Number of state order training foreign woman students, persons","Number of paid training foreign woman students, persons","Number of state order training man entrants, persons","Number of state order training man students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of foreign woman students, persons","Number of state order training foreign man students, persons","Number of paid training foreign man students, persons"
2004-01-01,-154.08482142857144,-226.4375,-79.63616071428572,-74.44866071428572,-152.08482142857144,165.34821428571428,42.75892857142857,122.58928571428571,-120.84151785714286,8.589285714285715,2.506696428571429,4.651785714285714,3.34375,7.479910714285714,-168.14955357142856,-171.64732142857144,-78.64285714285714,-406.53794642857144,26.645089285714285,16.316964285714285,-5.520089285714285
2005-01-01,129.33482142857144,139.4375,67.63616071428572,61.698660714285715,85.08482142857143,-112.34821428571428,-28.75892857142857,-83.58928571428571,119.59151785714286,0.1607142857142856,1.2433035714285712,2.3482142857142856,-4.34375,4.770089285714286,127.89955357142857,118.39732142857143,-61.85714285714286,438.28794642857144,-10.645089285714285,-12.816964285714285,12.020089285714285
2006-01-01,-106.58482142857143,-96.9375,-96.13616071428572,-10.448660714285715,-73.33482142857143,170.84821428571428,-7.741071428571431,178.58928571428572,-126.84151785714286,-10.160714285714285,-5.493303571428571,-1.5982142857142856,0.84375,-7.770089285714286,-77.14955357142857,-76.39732142857143,182.10714285714286,-326.78794642857144,-7.104910714285715,5.066964285714286,-10.520089285714285
2007-01-01,-345.41517857142856,-0.0625,-85.86383928571428,-259.5513392857143,89.58482142857143,-655.0982142857142,-228.00892857142856,-427.0892857142857,110.59151785714286,4.910714285714286,-9.256696428571429,-20.401785714285715,0.90625,-0.7299107142857144,-66.85044642857143,-99.35267857142857,-170.35714285714286,179.78794642857144,6.854910714285715,-4.316964285714286,-12.979910714285715
2008-01-01,716.1651785714286,122.0625,290.3638392857143,425.8013392857143,-90.08482142857143,692.8482142857142,399.50892857142856,293.3392857142857,-103.59151785714286,10.839285714285715,32.50669642857143,44.651785714285715,2.09375,9.479910714285715,302.60044642857144,329.60267857142856,84.85714285714286,-150.28794642857144,11.645089285714285,11.066964285714285,52.479910714285715
2009-01-01,-388.16517857142856,-88.0625,-133.36383928571428,-254.80133928571428,91.33482142857143,-130.09821428571428,-200.25892857142856,70.16071428571429,-97.65848214285714,-6.339285714285714,-20.25669642857143,-26.901785714285715,6.65625,-10.479910714285715,-392.35044642857144,-150.85267857142856,-34.10714285714286,-50.962053571428555,-15.645089285714285,2.6830357142857144,-72.72991071428572
2010-01-01,6.665178571428569,-32.6875,-41.63616071428572,48.301339285714285,-110.08482142857143,24.098214285714278,115.00892857142857,-90.91071428571429,401.4084821428571,-17.910714285714285,-3.493303571428571,-2.0982142857142856,-12.65625,-6.520089285714286,257.60044642857144,-225.89732142857144,109.35714285714286,505.96205357142856,-15.104910714285715,-25.433035714285715,48.729910714285715
2011-01-01,287.08482142857144,97.1875,40.13616071428572,246.94866071428572,133.08482142857144,141.90178571428572,2.4910714285714306,139.41071428571428,-287.4084821428571,31.910714285714285,13.493303571428571,10.348214285714285,1.90625,25.770089285714285,-114.10044642857143,153.64732142857144,-189.85714285714286,-455.46205357142856,46.604910714285715,19.433035714285715,-5.479910714285715
2012-01-01,-364.08482142857144,-103.4375,24.363839285714278,-388.4486607142857,-159.83482142857144,-540.4017857142858,-183.99107142857144,-356.4107142857143,-177.84151785714286,-10.660714285714285,-14.243303571428571,-9.348214285714285,6.84375,-13.020089285714285,93.10044642857143,118.85267857142857,-68.39285714285714,-298.03794642857144,-33.604910714285715,-2.9330357142857144,-18.270089285714285
2013-01-01,310.58482142857144,144.6875,-62.11383928571428,372.6986607142857,174.08482142857144,813.6517857142858,142.74107142857144,670.9107142857143,384.5915178571429,-23.589285714285715,0.24330357142857117,3.5982142857142856,-11.09375,-4.979910714285714,-86.60044642857143,-47.10267857142857,566.6428571428571,1067.0379464285716,-10.145089285714285,-3.5669642857142856,18.020089285714285
