,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons","Number of state order training foreign woman students, persons","Number of state order training foreign man students, persons","Number of paid training foreign woman students, persons","Number of paid training foreign man students, persons"
2001-01-01,512,528,175,177,337,351,948,848,355,325,593,523,296,288,4,5,9,13,3,2,6,11
2002-01-01,462,387,136,116,326,271,972,899,321,255,651,644,422,313,8,5,17,18,8,7,9,11
2003-01-01,760,689,220,151,540,538,1266,1264,384,313,882,951,482,448,6,4,13,9,5,1,8,8
2004-01-01,932,722,247,146,685,576,1668,1362,467,319,1201,1043,537,540,21,16,27,24,6,7,21,17
2005-01-01,1102,827,225,156,877,671,2077,1464,464,324,1613,1140,729,620,30,21,48,37,2,4,46,33
2006-01-01,1245,1011,194,206,1051,805,2382,1764,425,361,1957,1403,992,662,21,24,42,46,6,1,36,45
2007-01-01,1295,1097,228,148,1067,949,2460,1884,446,313,2014,1571,1022,721,46,37,69,50,19,8,50,42
2008-01-01,3126,1650,981,583,2145,1067,4371,2674,1374,916,2997,1758,1341,807,74,107,96,138,33,31,63,107
2009-01-01,3381,1617,981,420,2400,1197,5904,3177,1676,1132,4228,2045,1527,882,73,94,109,124,44,53,65,71
2010-01-01,4105,1915,1072,619,3033,1296,7019,3325,2088,982,4931,2343,2907,1789,57,89,91,123,21,25,70,98
2011-01-01,4779,2110,1110,628,3669,1482,8180,3367,2215,935,5965,2432,3239,1470,109,96,151,136,19,21,132,115
2012-01-01,4747,2378,1245,833,3502,1545,8259,3846,1982,1301,6277,2545,3648,1527,90,71,146,129,26,16,120,113
2013-01-01,4973,2568,1069,766,3904,1802,9978,4954,2190,1459,7788,3495,4906,2219,54,61,133,132,19,18,114,114
2014-01-01,4707,2666,1141,787,3566,1879,9522,4954,2203,1432,7319,3522,5062,2460,84,75,144,138,38,28,106,110
2015-01-01,3574,2233,975,891,2599,1342,7421,4490,2127,1376,5294,3114,4371,2113,96,87,153,161,49,40,104,121
2016-01-01,3994,2407,1107,721,2887,1686,6537,4373,1897,1569,4640,2804,4196,2311,80,78,135,147,29,44,106,103
2017-01-01,4293,1899,1203,645,3090,1254,7886,3907,2318,1304,5568,2603,2651,1962,84,80,164,154,46,46,118,108
2018-01-01,3654,2078,949,547,2705,1531,7452,3403,2053,988,5399,2415,3632,1851,93,71,182,126,72,26,110,100
2019-01-01,3778,1862,960,514,2818,1348,7118,3277,1820,898,5298,2379,3694,1447,65,59,139,113,67,43,72,70
