"Master Programe education institutions by indicators and years"

"indicators";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Number of Master Programe education institutions, unit";3;3;4;6;13;17;19;32;32;32;35;37;41;45;45;47;46;45;46
"Number of  higher educational institutions  of Master Programe education, unit";3;3;3;4;11;15;17;30;30;30;33;33;39;42;42;43;42;41;42
"Number of other scientific organizations of Master Programe education, unit";0;0;1;2;2;2;2;2;2;2;2;2;2;3;3;4;4;4;4
"Number of entrants, persons";1040;849;1449;1654;1929;2256;2392;4776;4998;6020;6889;7125;7541;7373;5807;6401;6192;5732;5640
"Number of women entrants , persons";512;462;760;932;1102;1245;1295;3126;3381;4105;4779;4747;4973;4707;3574;3994;4293;3654;3778
"Number of men entrants , persons";528;387;689;722;827;1011;1097;1650;1617;1915;2110;2378;2568;2666;2233;2407;1899;2078;1862
"Number of state order  training entrants, persons";352;252;371;393;381;400;376;1564;1401;1691;1738;2078;1835;1928;1866;1828;1848;1496;1474
"Number of state order training  women entrants, persons";175;136;220;247;225;194;228;981;981;1072;1110;1245;1069;1141;975;1107;1203;949;960
"Number of state order  training men entrants , persons";177;116;151;146;156;206;148;583;420;619;628;833;766;787;891;721;645;547;514
"Number of paid training  entrants, persons";688;597;1078;1261;1548;1856;2016;3212;3597;4329;5151;5047;5706;5445;3941;4573;4344;4236;4166
"Number of paid training   women entrants, persons";337;326;540;685;877;1051;1067;2145;2400;3033;3669;3502;3904;3566;2599;2887;3090;2705;2818
"Number of paid training   men entrants, persons";351;271;538;576;671;805;949;1067;1197;1296;1482;1545;1802;1879;1342;1686;1254;1531;1348
"Number of students, persons";1796;1871;2530;3030;3541;4146;4344;7045;9081;10344;11547;12105;14932;14476;11911;10910;11793;10855;10395
"Number of  woman students, persons";948;972;1266;1668;2077;2382;2460;4371;5904;7019;8180;8259;9978;9522;7421;6537;7886;7452;7118
"Number of  man students, persons";848;899;1264;1362;1464;1764;1884;2674;3177;3325;3367;3846;4954;4954;4490;4373;3907;3403;3277
"Number of  state order  training students, persons";680;576;697;786;788;786;759;2290;2808;3070;3150;3283;3649;3635;3503;3466;3622;3041;2718
"Number of  state order  training woman students, persons";355;321;384;467;464;425;446;1374;1676;2088;2215;1982;2190;2203;2127;1897;2318;2053;1820
"Number of  state order  training man students, persons";325;255;313;319;324;361;313;916;1132;982;935;1301;1459;1432;1376;1569;1304;988;898
"Number of paid training  students, persons";1116;1295;1833;2244;2753;3360;3585;4755;6273;7274;8397;8822;11283;10841;8408;7444;8171;7814;7677
"Number of paid training  woman students, persons";593;651;882;1201;1613;1957;2014;2997;4228;4931;5965;6277;7788;7319;5294;4640;5568;5399;5298
