,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of state order training woman students, persons","Number of paid training woman students, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign man students, persons","Number of state order training foreign woman students, persons","Number of paid training foreign woman students, persons","Number of state order training man entrants, persons","Number of state order training man students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of foreign woman students, persons","Number of state order training foreign man students, persons","Number of paid training foreign man students, persons"
2003-01-01,0.48279352226720645,0.763430725730443,0.3356504468718967,0.5775061124694376,0.9125993189557321,0.5969591226321037,0.2749371332774518,0.6380090497737556,0.4111365369946606,0.38636363636363635,0.25263157894736843,0.16379310344827586,0.40816326530612246,0.37,0.6361136571952337,0.5284039675383229,0.6301136363636364,0.3347022587268994,0.3706293706293706,0.4482758620689655,0.5798816568047337
2004-01-01,0.4402834008097166,0.5098963242224317,0.27904667328699106,0.5437652811735941,0.6526674233825198,0.6238783649052841,0.2917015926236379,0.6628959276018099,0.37833714721586575,0.5795454545454546,0.3894736842105263,0.3706896551724138,0.4897959183673469,0.51,0.5114573785517873,0.36609558160504957,0.4022727272727273,0.3503593429158111,0.5804195804195804,0.7126436781609196,0.6686390532544378
2005-01-01,0.43960863697705804,0.5777568331762488,0.23038728897715988,0.5667481662591687,0.717366628830874,0.6256231306081754,0.2196144174350377,0.6891968325791855,0.3691838291380625,0.5113636363636364,0.3157894736842105,0.35344827586206895,0.3877551020408163,0.63,0.5618698441796517,0.412082957619477,0.5272727272727272,0.3868069815195072,0.5034965034965035,0.47126436781609193,0.6390532544378699
2006-01-01,0.43049932523616735,0.6522148916116871,0.2214498510427011,0.5579462102689486,0.7616345062429057,0.5997008973080757,0.18943839061190276,0.6699660633484162,0.34019832189168575,0.3068181818181818,0.29473684210526313,0.31896551724137934,0.5510204081632653,0.28,0.5847846012832264,0.4418394950405771,0.61875,0.3698665297741273,0.26573426573426573,0.5747126436781609,0.5739644970414202
2007-01-01,0.3991228070175439,0.5598491988689915,0.28599801390268126,0.4806845965770171,0.7729852440408627,0.5431206380857427,0.23973176865046103,0.5888009049773756,0.3531655225019069,0.6931818181818182,0.4,0.27586206896551724,0.7346938775510204,0.52,0.44912923923006415,0.3363390441839495,0.47045454545454546,0.29183778234086244,0.6853146853146853,0.6896551724137931,0.5088757396449705
2008-01-01,1.0,1.0,1.0,1.0,0.7434733257661748,1.0,1.0,0.8506787330316742,0.37376048817696417,0.7272727272727273,1.0,1.0,0.7551020408163265,0.51,1.0,1.0,0.5352272727272728,0.4258213552361396,0.45454545454545453,0.7586206896551724,1.0
2009-01-01,0.4682860998650472,0.44769085768143263,0.2522343594836147,0.5975550122249389,0.757094211123723,0.9057826520438684,0.4752724224643755,0.920814479638009,0.36536994660564454,0.3977272727272727,0.12631578947368421,0.1206896551724138,0.6938775510204082,0.4,0.0,0.06402164111812443,0.58125,0.31750513347022585,0.35664335664335667,0.5632183908045977,0.0
2010-01-01,0.6265182186234818,0.7596606974552309,0.3426017874875869,0.78239608801956,0.7219069239500567,0.8015952143569293,0.567476948868399,0.7714932126696833,1.0,0.22727272727272727,0.21052631578947367,0.23275862068965517,0.0,0.43,0.8799266727772685,0.0829576194770063,0.5306818181818181,0.6581108829568788,0.23776223776223776,0.0,0.9704142011834319
2011-01-01,0.6096491228070176,0.6625824693685203,0.2899702085402185,0.7838630806845965,0.8206583427922814,0.8130608175473579,0.32858340318524726,0.8651018099547512,0.06483600305110603,1.0,0.3368421052631579,0.35344827586206895,0.42857142857142855,1.0,0.37396883593033914,0.5058611361587015,0.4056818181818182,0.08264887063655031,1.0,0.8505747126436781,0.5384615384615384
2012-01-01,0.3714574898785425,0.7313854853911405,0.38629592850049654,0.39119804400978,0.681044267877412,0.543369890329013,0.026823134953897737,0.6609162895927602,0.3516399694889397,0.19318181818181818,0.0,0.1810344827586207,0.6122448979591837,0.26,0.7277726856095326,0.7853922452660054,0.5380681818181818,0.3714065708418891,0.0,0.5632183908045977,0.48520710059171596
