,"Number of woman entrants, persons","Number of man entrants, persons","Number of paid training woman entrants, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of foreign woman entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons","Men who had defended thesis, persons","Women who had defended thesis, persons","Number of state order training woman entrants, persons","Number of woman students, persons","Number of paid training woman students, persons","Number of man graduates, persons"
2002-01-01,0.5136986301369864,0.05521472392638037,0.38571428571428573,0.6266094420600858,0.0,1.0,0.0,0.572289156626506,0.6144578313253012,0.5689655172413793,0.5079365079365079,0.6956521739130435,0.4339622641509434,0.0,0.0,0.07407407407407407,0.7764350453172205
2003-01-01,0.7123287671232876,1.0,0.38571428571428573,0.7424892703862661,0.5056179775280899,0.6169154228855721,0.5683060109289617,0.5060240963855421,0.5301204819277109,0.5287356321839081,0.48214285714285715,0.4260869565217391,0.559748427672956,0.6614785992217899,0.8720238095238095,0.49074074074074076,0.3957703927492447
2004-01-01,0.5205479452054794,0.7300613496932515,1.0,0.8240343347639485,0.3089887640449438,0.7412935323383084,0.5355191256830601,0.28313253012048195,0.5903614457831325,0.5574712643678161,0.5238095238095238,0.8695652173913043,0.4779874213836478,0.2723735408560311,0.6220238095238095,0.8703703703703703,0.770392749244713
2005-01-01,0.863013698630137,0.26993865030674846,0.4857142857142857,0.6437768240343348,0.15168539325842698,0.5124378109452736,0.5573770491803278,0.7409638554216867,0.5542168674698795,0.5402298850574713,0.4305555555555556,0.4260869565217391,0.5157232704402516,0.8832684824902723,0.49702380952380953,0.4166666666666667,0.5075528700906344
2006-01-01,0.6506849315068494,0.34355828220858897,0.5428571428571428,0.4206008583690987,0.0898876404494382,0.4925373134328358,0.29508196721311475,0.4578313253012048,0.5542168674698795,0.5402298850574713,0.49206349206349204,0.6869565217391305,0.5220125786163522,0.41245136186770426,0.5803571428571429,0.5185185185185185,0.7552870090634441
2007-01-01,0.4315068493150685,0.27607361963190186,0.2571428571428571,0.04721030042918455,0.38764044943820225,0.0,0.36065573770491804,0.27710843373493976,0.6265060240963856,0.5747126436781609,0.4880952380952381,0.46956521739130436,1.0,0.5019455252918288,0.6279761904761905,0.07407407407407407,0.283987915407855
2008-01-01,0.4863013698630137,0.7484662576687117,0.5,0.33047210300429186,0.02247191011235955,0.20398009950248755,0.4972677595628415,0.5963855421686747,1.0,0.7528735632183908,1.0,0.46956521739130436,0.0,0.5136186770428015,0.4017857142857143,0.46296296296296297,0.9607250755287009
2009-01-01,0.0,0.44785276073619634,0.0,1.0,0.19101123595505617,0.5223880597014925,1.0,1.0,0.5783132530120482,0.5517241379310345,0.49603174603174605,0.5826086956521739,0.7232704402515723,0.4085603112840467,0.6279761904761905,0.28703703703703703,0.676737160120846
2010-01-01,1.0,0.2331288343558282,0.42857142857142855,0.15450643776824036,0.011235955056179775,0.34328358208955223,0.12021857923497267,0.2289156626506024,0.7108433734939759,0.6149425287356322,0.38095238095238093,0.4260869565217391,0.4339622641509434,1.0,0.4851190476190476,0.4166666666666667,0.0
2011-01-01,0.9452054794520548,0.8404907975460123,0.4,0.0,0.398876404494382,0.263681592039801,0.01092896174863388,0.030120481927710843,0.6385542168674698,0.5804597701149425,0.4107142857142857,0.4434782608695652,0.42138364779874216,0.5252918287937743,0.6517857142857143,0.0,0.9697885196374623
2012-01-01,0.4794520547945205,0.7177914110429447,0.34285714285714286,0.6523605150214592,0.5,0.6616915422885572,0.40437158469945356,0.4036144578313253,0.5662650602409639,1.0,0.7559523809523809,1.0,0.5345911949685535,0.29961089494163423,0.8214285714285714,1.0,0.6253776435045317
2013-01-01,0.9931506849315068,0.3619631901840491,0.6,0.44206008583690987,1.0,0.32338308457711445,0.5081967213114754,0.2469879518072289,0.0,0.0,0.0,0.0,0.48427672955974843,0.7704280155642024,1.0,0.8981481481481481,0.3021148036253776
2014-01-01,0.22602739726027396,0.4601226993865031,0.34285714285714286,0.4248927038626609,0.33146067415730335,0.32338308457711445,0.48633879781420764,0.6927710843373494,0.6385542168674698,0.5172413793103449,0.42063492063492064,0.5565217391304348,0.4779874213836478,0.1828793774319066,0.14583333333333334,0.16666666666666666,1.0
2015-01-01,0.5684931506849316,0.803680981595092,0.4714285714285714,0.5536480686695279,0.07303370786516854,0.4925373134328358,0.4644808743169399,0.5,0.5060240963855421,0.5057471264367817,0.43452380952380953,0.43478260869565216,0.5094339622641509,0.708171206225681,0.4255952380952381,0.3611111111111111,0.5075528700906344
2016-01-01,0.952054794520548,0.5276073619631901,0.5,0.6394849785407726,0.2696629213483146,0.6119402985074627,0.4426229508196721,0.5903614457831325,0.5903614457831325,0.5229885057471264,0.4662698412698413,0.5391304347826087,0.5534591194968553,0.7587548638132295,0.7410714285714286,0.5925925925925926,0.5619335347432024
2017-01-01,0.3493150684931507,0.0,0.37142857142857144,0.2317596566523605,0.05056179775280899,0.13432835820895522,0.44808743169398907,0.6445783132530121,0.6024096385542169,0.5517241379310345,0.46825396825396826,0.46956521739130436,0.5408805031446541,0.24124513618677043,0.4583333333333333,0.39814814814814814,0.5921450151057401
2018-01-01,0.4452054794520548,0.6134969325153374,0.5,0.18025751072961374,0.12359550561797752,0.04975124378109453,0.47540983606557374,0.0,0.5421686746987951,0.5574712643678161,0.498015873015873,0.3826086956521739,0.4276729559748428,0.5680933852140078,0.6815476190476191,0.6111111111111112,0.6616314199395771
2019-01-01,0.5342465753424658,0.6993865030674846,0.4,0.4978540772532189,0.08426966292134831,0.35323383084577115,0.546448087431694,0.5240963855421686,0.6024096385542169,0.5632183908045977,0.4722222222222222,0.2956521739130435,0.5345911949685535,0.6264591439688716,0.5267857142857143,0.3148148148148148,0.5830815709969789
