,"Number of  post-graduate institutions, unit",National Academy of Sciences of RA,"Number of  post-graduate higher educational institutions, unit","Number of  post-graduateother scientific organizations, unit","Number of entrants, persons","Number of woman entrants, persons","Number of man entrants, persons","Number of state order  training  entrants, persons","Number of state order  training  woman entrants, persons","Number of state order  training  man entrants, persons","Number of paid training entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of available training  entrants, persons","Number of available training  woman entrants, persons","Number of available training man entrants, persons","Number of correspondence training  entrants, persons","Number of correspondence training  woman entrants, persons","Number of correspondence training  man entrants, persons","Number of students, persons","Number of woman students, persons","Number of man  students, persons","Number of state order  training  students, persons","Number of state order  training woman  students, persons","Number of state order  training  man students, persons","Number of paid training students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of available training students, persons","Number of available training woman students, persons","Number of available training man students, persons","Number of correspondence training  students, persons","Number of correspondence training woman students, persons","Number of correspondence training  man students, persons","Number of graduates, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of state order  training  graduates, persons","Number of state order  training  woman graduates, persons","Number of state order  training man graduates, persons","Number of paid training graduates, persons","Number of paid training woman graduates, persons","Number of paid training man graduates, persons","Number of available training  graduates, persons","Number of available training woman graduates, persons","Number of available training man  graduates, persons","Number of correspondence training   graduates, persons","Number of correspondence training  woman graduates, persons","Number of correspondence training  man graduates, persons","Those who had defended thesis, persons","Women who had defended thesis, persons","Men who had defended thesis, persons","Those who had defended thesis in available training, persons","Women who had defended thesis  in available training, persons","Men who had defended thesis  in available training, persons","Those who had defended thesis in correspondence training, persons","Women who had defended thesis in correspondence training, persons","Men who had defended thesis in correspondence training, persons","Those, who had presented  thesis to defence, persons","Women, who had presented thesis to defence, persons","Men, who had presented thesis to defence, persons","Those who had presented thesis to defence in available training, persons","Women who had  presented thesis to defence in available training, persons","Men who had presented thesis to defence  in available training, persons","Those who had presented thesis to defence in correspondence training, persons","Women who had presented thesis to defence in correspondence training, persons","Men who had presented thesis to defence in correspondence training, persons","Number of students expanding degree of candidate of science, persons","Number of woman students expanding degree of candidate of science, persons","Number of  man students expanding degree of candidate of science, persons","Those, who had defenced candidate thesis, people","Women, who had defenced candidate thesis, people","Men, who had defenced candidate thesis, people","Number of foreign entrants,persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of available training   foreign entrants,persons","Number of available training   foreign woman entrants,persons","Number of available training   foreign man entrants,persons","Number of correspondence training  foreign entrants,persons","Number of correspondence training  foreign woman entrants, persons","Number of correspondence training  foreign man entrants, persons","Number of foreign students, persons","Number of foreign woman students, persons","Number of foreign man students, persons","Number of available training   foreign students, persons","Number of available training   foreign woman  students, persons","Number of available training   foreign man students, persons","Number of correspondence training  foreign students, persons","Number of correspondence training  foreign woman students, persons","Number of correspondence training  foreign man students, persons","Number of foreign graduates, persons","Number of foreign woman graduates, persons","Number of foreign man graduates, persons","Number of available training   foreign graduates, persons","Number of available training   foreign woman  graduates, persons","Number of available training   foreign man graduates, persons","Number of correspondence training  foreign graduates, persons","Number of correspondence training  foreign woman graduates, persons","Number of correspondence training  foreign man graduates, persons",Number of  detached RA citizens  by the RA Ministry of Education and Science within the framework of,Number of  detached RA woman citizens  by the RA Ministry of Education and Science within the framew,Number of  detached RA man citizens  by the RA Ministry of Education and Science within the framewor
2000,59,36,12,11,283,98,185,0,0,0,0,0,0,98,58,40,185,40,145,992,339,653,0,0,0,0,0,0,539,101,438,453,238,215,310,99,211,0,0,0,0,0,0,127,15,112,183,84,99,127,15,112,68,6,62,59,9,50,84,23,61,38,11,27,46,12,34,1012,532,480,200,56,144,11,0,0,7,0,0,4,0,0,27,0,0,7,0,0,4,0,0,4,0,0,2,0,0,2,0,0,0,0,0
2001,73,37,10,26,488,146,342,425,132,293,63,14,49,280,22,258,208,124,84,1327,491,836,1140,455,685,187,36,151,760,115,645,567,376,191,276,74,202,255,74,181,21,0,21,185,27,158,91,47,44,113,19,94,88,9,79,25,10,15,46,10,36,30,6,24,16,4,12,1099,647,452,180,70,110,12,5,7,10,3,7,2,2,0,32,5,7,10,3,7,2,2,0,7,3,4,7,3,4,0,0,0,0,0,0
2002,69,36,10,23,390,133,257,376,123,253,14,10,4,225,15,210,165,118,47,1292,443,849,1196,413,783,96,30,66,697,79,618,595,364,231,344,95,249,294,90,204,50,5,45,228,26,202,116,69,47,121,7,114,107,3,104,14,4,10,39,9,30,24,3,21,15,6,9,1249,735,514,212,69,143,28,8,20,24,6,18,4,2,2,49,8,20,24,6,18,4,2,2,8,3,5,8,3,5,0,0,0,0,0,0
2003,70,36,12,22,475,149,326,414,143,271,61,6,55,324,52,272,151,97,54,1377,488,889,1265,461,804,112,27,85,763,73,690,614,415,199,331,105,226,291,97,194,40,8,32,218,37,181,113,68,45,118,15,103,104,9,95,14,6,8,30,8,22,21,3,18,9,5,4,1215,743,472,200,76,124,24,4,20,20,4,16,4,0,4,69,4,20,20,4,16,4,0,4,12,6,6,12,6,6,0,0,0,31,5,26
2004,73,36,14,23,488,137,351,407,92,315,81,45,36,268,18,250,220,119,101,1490,542,948,1324,474,850,166,68,98,768,72,696,722,470,252,335,78,257,317,73,244,18,5,13,225,14,211,110,64,46,153,10,143,144,5,139,9,5,4,30,4,26,26,3,23,4,1,3,1385,871,514,255,84,171,46,5,41,44,5,39,2,0,2,82,5,41,44,5,39,2,0,2,7,3,4,7,3,4,0,0,0,50,5,45
2005,70,36,14,20,476,175,301,398,127,271,78,48,30,253,14,239,223,161,62,1528,563,965,1309,459,850,219,104,115,793,66,727,735,497,238,382,127,255,366,119,247,16,8,8,203,13,190,179,114,65,143,11,132,127,1,126,16,10,6,26,8,18,10,2,8,16,6,10,1264,843,421,176,64,112,18,3,15,15,3,12,3,0,3,84,3,15,15,3,12,3,0,3,16,5,11,16,5,11,0,0,0,25,5,20
2006,70,37,14,19,445,182,263,361,127,234,84,55,29,195,16,179,250,166,84,1509,579,930,1279,433,846,230,146,84,701,58,643,808,521,287,431,129,302,368,120,248,63,9,54,273,35,238,158,94,64,164,13,151,135,1,134,29,12,17,29,6,23,20,3,17,9,3,6,1431,929,502,187,89,98,21,1,20,17,0,17,4,1,3,98,1,20,17,0,17,4,1,3,23,8,15,22,8,14,1,0,1,35,3,32
2007,64,31,14,19,371,157,214,309,115,194,62,42,20,188,22,166,183,135,48,1414,606,808,1203,460,743,211,146,65,655,66,589,759,540,219,343,101,242,322,88,234,21,13,8,212,29,183,131,72,59,236,91,145,211,82,129,25,9,16,107,10,97,81,3,78,26,7,19,1432,911,521,254,128,126,28,5,23,24,5,19,4,0,4,107,5,23,24,5,19,4,0,4,27,13,14,25,12,13,2,1,1,29,2,27
2008,61,31,16,14,382,140,242,317,94,223,65,46,19,216,21,195,166,119,47,1320,568,752,1103,422,681,217,146,71,560,53,507,760,515,245,425,126,299,360,85,275,65,41,24,230,16,214,195,110,85,149,10,139,122,3,119,27,7,20,28,6,22,17,3,14,11,3,8,1314,833,481,127,59,68,324,40,284,178,24,154,146,16,130,510,40,284,178,24,154,146,16,130,36,5,31,36,5,31,0,0,0,25,5,20
2009,55,30,16,9,273,52,221,193,37,156,80,15,65,138,20,118,135,32,103,1393,541,852,1097,414,683,296,127,169,732,57,675,661,484,177,597,218,379,311,91,220,286,127,159,138,20,118,459,198,261,190,44,146,163,37,126,27,7,20,28,11,17,17,8,9,11,3,8,1322,885,437,88,39,49,331,40,291,183,24,159,148,16,132,520,40,291,183,24,159,148,16,132,37,5,32,36,5,31,1,0,1,19,4,15
