"Post-Graduation by indicators and years"

"indicators";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Number of  post-graduate institutions, unit";59;73;69;70;73;70;70;64;61;55;51;47;47;55;62;59;58;61;59;60
"National Academy of Sciences of RA";36;37;36;36;36;36;37;31;31;30;29;30;30;30;31;31;31;32;32;32
"Number of  post-graduate higher educational institutions, unit";12;10;10;12;14;14;14;14;16;16;16;14;14;17;20;20;20;20;19;21
"Number of  post-graduateother scientific organizations, unit";11;26;23;22;23;20;19;19;14;9;6;3;3;8;11;8;7;9;8;7
"Number of entrants, persons";283;488;390;475;488;476;445;371;382;273;275;368;373;395;321;353;396;265;248;258
"Number of woman entrants, persons";98;146;133;149;137;175;182;157;140;52;110;160;142;199;144;139;190;153;130;120
"Number of man entrants, persons";185;342;257;326;351;301;263;214;242;221;165;208;231;196;177;214;206;112;118;138
"Number of state order  training  entrants, persons";0;425;376;414;407;398;361;309;317;193;239;349;368;373;304;327;379;249;230;229
"Number of state order  training  woman entrants, persons";0;132;123;143;92;127;127;115;94;37;96;149;138;184;136;129;176;144;117;110
"Number of state order  training  man entrants, persons";0;293;253;271;315;271;234;194;223;156;143;200;230;189;168;198;203;105;113;119
"Number of paid training entrants, persons";0;63;14;61;81;78;84;62;65;80;36;19;5;22;17;26;17;16;18;29
"Number of paid training woman entrants, persons";0;14;10;6;45;48;55;42;46;15;14;11;4;15;8;10;14;9;13;10
"Number of paid training man entrants, persons";0;49;4;55;36;30;29;20;19;65;22;8;1;7;9;16;3;7;5;19
"Number of available training  entrants, persons";98;280;225;324;268;253;195;188;216;138;177;173;174;159;153;160;166;108;127;155
"Number of available training  woman entrants, persons";58;22;15;52;18;14;16;22;21;20;26;22;22;15;17;14;22;38;45;44
"Number of available training man entrants, persons";40;258;210;272;250;239;179;166;195;118;151;151;152;144;136;146;144;70;82;111
"Number of correspondence training  entrants, persons";185;208;165;151;220;223;250;183;166;135;98;195;199;236;168;193;230;157;121;103
"Number of correspondence training  woman entrants, persons";40;124;118;97;119;161;166;135;119;32;84;138;120;184;127;125;168;115;85;76
"Number of correspondence training  man entrants, persons";145;84;47;54;101;62;84;48;47;103;14;57;79;52;41;68;62;42;36;27
"Number of students, persons";992;1327;1292;1377;1490;1528;1509;1414;1320;1393;1232;1054;1104;1241;1223;1178;1202;1085;985;936
"Number of woman students, persons";339;491;443;488;542;563;579;606;568;541;477;432;463;630;646;605;613;575;566;534
"Number of man  students, persons";653;836;849;889;948;965;930;808;752;852;755;622;641;611;577;573;589;510;419;402
