,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons"
2002-01-01,-50.0,-141.0,-39.0,-61.0,-11.0,-80.0,24.0,51.0,-34.0,-70.0,58.0,121.0,126.0,25.0,4.0,0.0,8.0,5.0
2003-01-01,298.0,302.0,84.0,35.0,214.0,267.0,294.0,365.0,63.0,58.0,231.0,307.0,60.0,135.0,-2.0,-1.0,-4.0,-9.0
2004-01-01,172.0,33.0,27.0,-5.0,145.0,38.0,402.0,98.0,83.0,6.0,319.0,92.0,55.0,92.0,15.0,12.0,14.0,15.0
2005-01-01,170.0,105.0,-22.0,10.0,192.0,95.0,409.0,102.0,-3.0,5.0,412.0,97.0,192.0,80.0,9.0,5.0,21.0,13.0
2006-01-01,143.0,184.0,-31.0,50.0,174.0,134.0,305.0,300.0,-39.0,37.0,344.0,263.0,263.0,42.0,-9.0,3.0,-6.0,9.0
2007-01-01,50.0,86.0,34.0,-58.0,16.0,144.0,78.0,120.0,21.0,-48.0,57.0,168.0,30.0,59.0,25.0,13.0,27.0,4.0
2008-01-01,1831.0,553.0,753.0,435.0,1078.0,118.0,1911.0,790.0,928.0,603.0,983.0,187.0,319.0,86.0,28.0,70.0,27.0,88.0
2009-01-01,255.0,-33.0,0.0,-163.0,255.0,130.0,1533.0,503.0,302.0,216.0,1231.0,287.0,186.0,75.0,-1.0,-13.0,13.0,-14.0
2010-01-01,724.0,298.0,91.0,199.0,633.0,99.0,1115.0,148.0,412.0,-150.0,703.0,298.0,1380.0,907.0,-16.0,-5.0,-18.0,-1.0
2011-01-01,674.0,195.0,38.0,9.0,636.0,186.0,1161.0,42.0,127.0,-47.0,1034.0,89.0,332.0,-319.0,52.0,7.0,60.0,13.0
2012-01-01,-32.0,268.0,135.0,205.0,-167.0,63.0,79.0,479.0,-233.0,366.0,312.0,113.0,409.0,57.0,-19.0,-25.0,-5.0,-7.0
2013-01-01,226.0,190.0,-176.0,-67.0,402.0,257.0,1719.0,1108.0,208.0,158.0,1511.0,950.0,1258.0,692.0,-36.0,-10.0,-13.0,3.0
2014-01-01,-266.0,98.0,72.0,21.0,-338.0,77.0,-456.0,0.0,13.0,-27.0,-469.0,27.0,156.0,241.0,30.0,14.0,11.0,6.0
2015-01-01,-1133.0,-433.0,-166.0,104.0,-967.0,-537.0,-2101.0,-464.0,-76.0,-56.0,-2025.0,-408.0,-691.0,-347.0,12.0,12.0,9.0,23.0
2016-01-01,420.0,174.0,132.0,-170.0,288.0,344.0,-884.0,-117.0,-230.0,193.0,-654.0,-310.0,-175.0,198.0,-16.0,-9.0,-18.0,-14.0
2017-01-01,299.0,-508.0,96.0,-76.0,203.0,-432.0,1349.0,-466.0,421.0,-265.0,928.0,-201.0,-1545.0,-349.0,4.0,2.0,29.0,7.0
2018-01-01,-639.0,179.0,-254.0,-98.0,-385.0,277.0,-434.0,-504.0,-265.0,-316.0,-169.0,-188.0,981.0,-111.0,9.0,-9.0,18.0,-28.0
2019-01-01,124.0,-216.0,11.0,-33.0,113.0,-183.0,-334.0,-126.0,-233.0,-90.0,-101.0,-36.0,62.0,-404.0,-28.0,-12.0,-43.0,-13.0
