,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons"
2001-01-01,48.0,157.0,132.0,293.0,14.0,49.0,152.0,183.0,455.0,685.0,36.0,151.0,-25.0,-9.0,5.0,7.0,5.0,7.0
2002-01-01,-13.0,-85.0,-9.0,-40.0,-4.0,-45.0,-48.0,13.0,-42.0,98.0,-6.0,-85.0,21.0,47.0,3.0,13.0,3.0,13.0
2003-01-01,16.0,69.0,20.0,18.0,-4.0,51.0,45.0,40.0,48.0,21.0,-3.0,19.0,10.0,-23.0,-4.0,0.0,-4.0,0.0
2004-01-01,-12.0,25.0,-51.0,44.0,39.0,-19.0,54.0,59.0,13.0,46.0,41.0,13.0,-27.0,31.0,1.0,21.0,1.0,21.0
2005-01-01,38.0,-50.0,35.0,-44.0,3.0,-6.0,21.0,17.0,-15.0,0.0,36.0,17.0,49.0,-2.0,-2.0,-26.0,-2.0,-26.0
2006-01-01,7.0,-38.0,0.0,-37.0,7.0,-1.0,16.0,-35.0,-26.0,-4.0,42.0,-31.0,2.0,47.0,-2.0,5.0,-2.0,5.0
2007-01-01,-25.0,-49.0,-12.0,-40.0,-13.0,-9.0,27.0,-122.0,27.0,-103.0,0.0,-19.0,-28.0,-60.0,4.0,3.0,4.0,3.0
2008-01-01,-17.0,28.0,-21.0,29.0,4.0,-1.0,-38.0,-56.0,-38.0,-62.0,0.0,6.0,25.0,57.0,35.0,261.0,35.0,261.0
2009-01-01,-88.0,-21.0,-57.0,-67.0,-31.0,46.0,-27.0,100.0,-8.0,2.0,-19.0,98.0,92.0,80.0,0.0,7.0,0.0,7.0
2010-01-01,58.0,-56.0,59.0,-13.0,-1.0,-43.0,-64.0,-97.0,-40.0,-34.0,-24.0,-63.0,-36.0,-121.0,11.0,-51.0,11.0,-51.0
2011-01-01,50.0,43.0,53.0,57.0,-3.0,-14.0,-45.0,-133.0,29.0,-50.0,-74.0,-83.0,-69.0,-1.0,5.0,-36.0,5.0,-36.0
2012-01-01,-18.0,23.0,-11.0,30.0,-7.0,-7.0,31.0,19.0,47.0,30.0,-16.0,-11.0,-7.0,5.0,-1.0,-22.0,78.0,138.0
2013-01-01,57.0,-35.0,46.0,-41.0,11.0,6.0,167.0,-30.0,136.0,-38.0,31.0,8.0,-33.0,-96.0,-48.0,-161.0,-96.0,-243.0
2014-01-01,-55.0,-19.0,-48.0,-21.0,-7.0,2.0,16.0,-34.0,17.0,-38.0,-1.0,4.0,41.0,34.0,5.0,-10.0,-6.0,-31.0
2015-01-01,-5.0,37.0,-7.0,30.0,2.0,7.0,-41.0,-4.0,-29.0,-4.0,-12.0,0.0,9.0,1.0,-6.0,-3.0,-8.0,-24.0
2016-01-01,51.0,-8.0,47.0,5.0,4.0,-13.0,8.0,16.0,6.0,20.0,2.0,-4.0,24.0,-14.0,1.0,-1.0,-5.0,-8.0
2017-01-01,-37.0,-94.0,-32.0,-98.0,-5.0,4.0,-38.0,-79.0,-33.0,-76.0,-5.0,-3.0,33.0,-19.0,2.0,4.0,0.0,-7.0
2018-01-01,-23.0,6.0,-27.0,8.0,4.0,-2.0,-9.0,-91.0,-20.0,-93.0,11.0,2.0,-74.0,-1.0,-3.0,-2.0,1.0,8.0
2019-01-01,-10.0,20.0,-7.0,6.0,-3.0,14.0,-32.0,-17.0,-27.0,-32.0,-5.0,15.0,13.0,-9.0,2.0,1.0,2.0,-5.0
