,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of man students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons"
2000-01-01,98,185,0,0,0,0,339,653,0,0,0,0,99,211,0,0,0,0
2001-01-01,146,342,132,293,14,49,491,836,455,685,36,151,74,202,5,7,5,7
2002-01-01,133,257,123,253,10,4,443,849,413,783,30,66,95,249,8,20,8,20
2003-01-01,149,326,143,271,6,55,488,889,461,804,27,85,105,226,4,20,4,20
2004-01-01,137,351,92,315,45,36,542,948,474,850,68,98,78,257,5,41,5,41
2005-01-01,175,301,127,271,48,30,563,965,459,850,104,115,127,255,3,15,3,15
2006-01-01,182,263,127,234,55,29,579,930,433,846,146,84,129,302,1,20,1,20
2007-01-01,157,214,115,194,42,20,606,808,460,743,146,65,101,242,5,23,5,23
2008-01-01,140,242,94,223,46,19,568,752,422,681,146,71,126,299,40,284,40,284
2009-01-01,52,221,37,156,15,65,541,852,414,683,127,169,218,379,40,291,40,291
2010-01-01,110,165,96,143,14,22,477,755,374,649,103,106,182,258,51,240,51,240
2011-01-01,160,208,149,200,11,8,432,622,403,599,29,23,113,257,56,204,56,204
2012-01-01,142,231,138,230,4,1,463,641,450,629,13,12,106,262,55,182,134,342
2013-01-01,199,196,184,189,15,7,630,611,586,591,44,20,73,166,7,21,38,99
2014-01-01,144,177,136,168,8,9,646,577,603,553,43,24,114,200,12,11,32,68
2015-01-01,139,214,129,198,10,16,605,573,574,549,31,24,123,201,6,8,24,44
2016-01-01,190,206,176,203,14,3,613,589,580,569,33,20,147,187,7,7,19,36
2017-01-01,153,112,144,105,9,7,575,510,547,493,28,17,180,168,9,11,19,29
2018-01-01,130,118,117,113,13,5,566,419,527,400,39,19,106,167,6,9,20,37
2019-01-01,120,138,110,119,10,19,534,402,500,368,34,34,119,158,8,10,22,32
